Sample,X(ms) [24.10.0049 10:10:51 348 UTC],CurrentSetpoint[°C],ScaledInput[°C],OutputHeat[%],OutputCool[%]
273,85343.574300,60,59.0241584777832,33.5872993469238,0
274,85655.971000,60,59.0856513977051,34.4275817871094,0
275,86015.136700,60,59.154369354248,35.3552093505859,0
276,86327.741500,60,59.3352088928223,36.2038116455078,0
277,86608.744100,60,59.4545707702637,36.4151000976563,0
278,86936.842000,60,59.5377616882324,37.1069793701172,0
279,87218.144600,60,59.6209487915039,37.2201995849609,0
280,87561.650400,60,59.8379592895508,37.2528305053711,0
281,87842.799100,60,59.9681701660156,37.1440315246582,0
282,88155.494300,60,60.0549812316895,36.9689598083496,0
283,88467.849300,60,60.1381607055664,36.6601409912109,0
284,88811.346200,60,60.2647590637207,36.1882400512695,0
285,89139.424700,60,60.4600715637207,35.2277908325195,0
286,89420.630100,60,60.5287895202637,34.5346794128418,0
287,89733.010500,60,60.6336784362793,33.6948585510254,0
288,90029.852600,60,60.6951713562012,32.6404609680176,0
289,90342.265700,60,60.7530403137207,31.6975498199463,0
290,90654.830000,60,60.8326110839844,30.6281299591064,0
291,90967.263900,60,60.8760108947754,29.5005302429199,0
292,91279.655900,60,60.962818145752,28.1712093353271,0
293,91638.812700,60,60.9989891052246,27.014720916748,0
294,91919.996800,60,61.0134506225586,25.7823791503906,0
295,92217.015600,60,61.0243110656738,24.0480899810791,0
296,92529.340100,60,61.0279197692871,22.8900203704834,0
297,92841.823400,60,61.0206909179688,21.7613391876221,0
298,93200.954600,60,60.9845199584961,20.7093105316162,0
299,93497.722200,60,60.9592018127441,19.5856094360352,0
300,93794.526300,60,60.912181854248,18.0000991821289,0
301,94091.494300,60,60.8760108947754,17.0884208679199,0
302,94403.993800,60,60.7602691650391,16.3569393157959,0
303,94716.239800,60,60.7060203552246,15.6552000045776,0
304,95028.647700,60,60.6228294372559,14.9793996810913,0
305,95372.280400,60,60.5577201843262,14.4406900405884,0
306,95669.123100,60,60.4962387084961,13.9337301254272,0
307,95966.074600,60,60.3262405395508,13.6095104217529,0
308,96278.372100,60,60.2213592529297,13.4748697280884,0
309,96590.937000,60,60.1490211486816,13.3770704269409,0
310,96903.224800,60,60.0405082702637,13.4657402038574,0
311,97246.877400,60,59.9717903137207,13.601300239563,0
312,97559.264800,60,59.9030685424805,13.8225603103638,0
313,97871.863400,60,59.7330703735352,14.531590461731,0
314,98161.151700,60,59.6354217529297,15.1058197021484,0
315,98457.931800,60,59.5775489807129,15.6715698242188,0
316,98786.011100,60,59.5196800231934,16.2491092681885,0
317,99114.058300,60,59.3930892944336,17.3476600646973,0
318,99410.855600,60,59.3279800415039,18.2217998504639,0
319,99707.840400,60,59.2881889343262,19.1252994537354,0
320,100020.256200,60,59.2556381225586,20.211669921875,0
